,Ref_DOI_number,Ref_publication_date,Ref_journal,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,JV_light_intensity,Perovskite_band_gap,Perovskite_composition_short_form,Cell_architecture,DOI,Citations,Journal,Publication_date
0,10.1021/acs.chemmater.9b00478,2019-04-05,Chemistry of Materials,0.0,0.0,,0.0,100.0,2,LaYS,pin,10.1021/acs.chemmater.9b00478,20,Chemistry of Materials,2019-04-05
1,10.1021/acs.chemmater.0c00345,2020-06-03,Chemistry of Materials,0.33,0.052,0.41,0.0069999999999999,100.0,1.38,MAAuBr,nip,10.1021/acs.chemmater.0c00345,9,Chemistry of Materials,2020-06-03
2,10.1016/j.nanoen.2018.07.024,2018-07-20,Nano Energy,0.77,0.022,0.413,0.01,100.0,1.58,MAPbI,Back contacted,10.1016/j.nanoen.2018.07.024,18,Nano Energy,2018-07-20
3,10.1016/j.solener.2018.11.050,2018-11-27,Solar Energy,0.43,0.061,0.395,0.01,100.0,,MABiI,nip,10.1016/j.solener.2018.11.050,17,Solar Energy,2018-11-27
4,10.1016/j.solener.2018.11.051,2018-11-24,Solar Energy,0.48,0.078,0.37,0.013,100.0,,FABiI,nip,10.1016/j.solener.2018.11.051,17,Solar Energy,2018-11-24
5,10.1038/s41598-019-46199-4,2019-07-05,Scientific Reports,0.4,0.11,0.361,0.016,100.0,,MABiI,nip,10.1038/s41598-019-46199-4,27,Scientific Reports,2019-07-05
6,10.1021/acs.inorgchem.5b01896,2016-01-12,Inorganic Chemistry,0.256,0.216,0.32,0.02,100.0,2.12,MACuBrCl,nip,10.1021/acs.inorgchem.5b01896,316,Inorganic Chemistry,2016-01-12
7,10.1039/c7ra04235c,2017-07-28,RSC Advances,0.3,0.016,0.41,0.02,100.0,1.65,MAMnI,nip,10.1039/c7ra04235c,20,RSC Advances,2017-07-28
8,10.1021/acsaem.8b01809,2019-02-25,ACS Applied Energy Materials,0.34,0.15,,0.02,100.0,2,HDABiI,nip,10.1021/acsaem.8b01809,3,ACS Applied Energy Materials,2019-02-25
9,10.1016/j.solener.2018.11.052,2018-11-28,Solar Energy,0.45,0.11,0.4589999999999999,0.022,100.0,,FABiI,nip,10.1016/j.solener.2018.11.052,3,Solar Energy,2018-11-28
10,10.1007/s42452-019-0633-y,2019-05-23,SN Applied Sciences,0.6,0.12,0.449,0.033,100.0,2.6,AgBiBr,nip,10.1007/s42452-019-0633-y,3,SN Applied Sciences,2019-05-23
